Model,Accuracy,Precision weighted,Recall weighted,F1 weighted,ROC-AUC,Fit seconds
SVC,0.9530340214619123,0.9530718576221516,0.9530340214619123,0.9529715688820658,0.988604421154914,116.44851829996333
Decision Tree,0.9475963620614984,0.9476468535837509,0.9475963620614984,0.9475160202397741,0.9867694700483428,0.9150632000528276
KNN,0.9333525816851932,0.9333780676739171,0.9333525816851932,0.9332391790455269,0.9744626560500809,0.29593459994066507
Logistic Regression,0.8765699436985708,0.8763891356976936,0.8765699436985708,0.8763407710095301,0.9293573222454916,0.4730592999840155
Gaussian Naive Bayes,0.861941196285068,0.8617488211387342,0.861941196285068,0.8615459091023009,0.9215627112353041,0.32148919999599457
