Model,Baseline CV,Tuned CV,Change,Best parameters
Ridge,0.024100950433262065,0.024507858028676388,0.0004069075954143235,{'model__alpha': 100}
Lasso,0.024605853330025185,0.024605853330025185,0.0,{'model__alpha': 10}
ElasticNet,0.02217020757363815,0.024493167405178668,0.0023229598315405164,"{'model__alpha': 0.1, 'model__l1_ratio': 0.2}"
Decision Tree,-0.05888888212634654,-0.04999074208876886,0.008898140037577683,{'model__max_depth': 3}
Random Forest,-0.016533632525700764,-0.013281035507703912,0.0032525970179968517,{'model__n_estimators': 150}
Gradient Boosting,-0.10203455316643335,-0.05758120664850123,0.044453346517932125,{'model__learning_rate': 0.03}
SVR,0.0005512842256045758,0.0005512842256045758,0.0,"{'model__regressor__C': 1, 'model__regressor__kernel': 'rbf'}"
KNN,-0.01406569984451056,0.013563362991148279,0.027629062835658837,{'model__n_neighbors': 80}
